spcd,common name,Genus,Species,Species2,phy,myc,spcd,totdbh,Order,family,Clade,Phycat1,Phycat2,Leaf N_mg_g,Sample_Size_LeafN
337,painted buckeye,Aesculus,sylvatica,Aesculus sylvatica,A,a,337,0,Sapindales,Hippocastanaceae,Malvids,Other,Other,,
886,Florida poisontree,Metopium,toxiferum,Metopium toxiferum,A,a,886,0,,,,,,,
658,umbrella magnolia,Magnolia,tripetala,Magnolia tripetala,A,a,658,0,Magnoliales,Magnoliaceae,Magnolids,Other,Other,,
520,persimmon spp.,Diospyros,spp.,Diospyros spp.,A,a,520,1,Ericales,Ebenaceae,Asterids,Other,Other,,
692,Ogeechee tupelo,Nyssa,ogeche,Nyssa ogeche,A,a,692,1.5,Cornales,Cornaceae,Asterids,Other,Other,,
423,Ozark chinkapin,Castanea,pumila,Castanea pumila,A,e,423,1.7,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
662,southern crab apple,Malus,angustifolia,Malus angustifolia,A,a,662,1.8,Rosales,Rosaceae,Fabids,Other,Other,,
357,common serviceberry,Amelanchier,arborea,Amelanchier arborea,A,a,357,2,Rosales,Rosaceae,Fabids,Other,Other,,
996,smoketree,Cotinus,obovatus,Cotinus obovatus,A,a,996,3.1,Sapindales,Anacardiaceae,Malvids,Other,Other,,
323,chalk maple,Acer,leucoderme,Acer leucoderme,A,a,323,3.6,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,,
836,Delta post oak,Quercus,similis,Quercus similis,A,e,836,5.1,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
925,coastal plain willow,Salix,caroliniana,Salix caroliniana,A,b,925,6,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,,
973,cedar elm,Ulmus,crassifolia,Ulmus crassifolia,A,a,973,6.6,Rosales,Ulmaceae,Fabids,Other,Other,,
57,redcedar/juniper spp.,Juniperus,spp.,Juniperus spp.,G,a,57,7.1,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,,
406,nutmeg hickory,Carya,myristiciformis,Carya myristiciformis,A,e,406,9.1,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
502,downy hawthorn,Crataegus,mollis,Crataegus mollis,A,a,502,11.2,Rosales,Rosaceae,Fabids,Other,Other,,
96,blue spruce,Picea,pungens,Picea pungens,G,e,96,11.8,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
680,mulberry spp.,Morus,spp.,Morus spp.,A,a,680,12.9,Rosales,Moraceae,Fabids,Other,Other,,
10,fir spp.,Abies,spp.,Abies spp.,G,e,10,13.8,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
740,cottonwood and poplar spp.,Populus,spp.,Populus spp.,A,b,740,15.78,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,,
766,American plum,Prunus,americana,Prunus americana,A,a,766,18.5,Rosales,Rosaceae,Fabids,Other,Other,,
571,Kentucky coffeetree,Gymnocladus,dioicus,Gymnocladus dioicus,A,a,571,20,Fabales,Fabaceae,Fabids,Other,Other,,
950,basswood spp.,Tilia,spp.,Tilia spp.,A,e,950,20.1,Malvales,Malvaceae,Malvids,Other,Other,,
663,sweet crab apple,Malus,coronaria,Malus coronaria,A,a,663,20.7,Rosales,Rosaceae,Fabids,Other,Other,,
370,birch spp.,Betula,spp.,Betula spp.,A,e,370,24.1,Fagales,Betulaceae,Fabids,Other,Betulaceae,,
970,elm spp.,Ulmus,spp.,Ulmus spp.,A,a,970,24.46,Rosales,Ulmaceae,Fabids,Other,Other,,
381,"chittamwood, gum bumelia",Sideroxylon,lanuginosum,Sideroxylon lanuginosum,A,a,381,30.91,Ericales,Sapotaceae,Asterids,Other,Other,,
994,Chinese tallowtree,Triadica,sebifera,Triadica sebifera,A,a,994,31.1,Malpighiales,Euphorbiaceae,Fabids,Other,Other,,
540,ash spp.,Fraxinus,spp.,Fraxinus spp.,A,a,540,32.35,Lamiales,Oleaceae,Asterids,Other,Oleaceae,,
580,silverbell spp.,Halesia,spp.,Halesia spp.,A,a,580,32.9,Ericales,Styraccaceae,Asterids,Other,Other,,
915,other palms,Family Arecaceae,not listed above,Family Arecaceae not listed above,A,a,915,34.4,Arecales,Arecaceae,Monocot,Other,Other,,
999,Other or unknown live tree,Tree,unknown,Tree unknown,0,n,999,37.45,,none,,,,,
450,catalpa spp.,Catalpa,spp.,Catalpa spp.,A,a,450,37.5,Lamiales,Bignoniaceae,Asterids,Other,Other,,
722,"water-elm, planertree",Planera,aquatica,Planera aquatica,A,a,722,38.3,Rosales,Ulmaceae,Fabids,Other,Other,,
367,pawpaw,Asimina,triloba,Asimina triloba,A,a,367,44.3,Magnoliales,Annonaceae,Magnolids,Other,Other,,
299,Unknown dead conifer,Tree,evergreen,Tree evergreen,G,n,299,46.8,,none,,,,,
935,American mountain-ash,Sorbus,americana,Sorbus americana,A,a,935,48.6,Rosales,Rosaceae,Fabids,Other,Other,,
920,willow spp.,Salix,spp.,Salix spp.,A,b,920,53.38,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,,
501,cockspur hawthorn,Crataegus,crus-galli,Crataegus crus-galli,A,a,501,54.5,Rosales,Rosaceae,Fabids,Other,Other,,
551,waterlocust,Gleditsia,aquatica,Gleditsia aquatica,A,a,551,74.2,Fabales,Fabaceae,Fabids,Other,Other,,
760,cherry and plum spp.,Prunus,spp.,Prunus spp.,A,a,760,78.1,Rosales,Rosaceae,Fabids,Other,Other,,
993,chinaberry,Melia,azedarach,Melia azedarach,A,a,993,79.8,Sapindales,Meliaceae,Malvids,Other,Other,,
410,sand hickory,Carya,pallida,Carya pallida,A,e,410,88.85,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
311,Florida maple,Acer,barbatum,Acer barbatum,A,a,311,88.9,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,,
404,pecan,Carya,illinoinensis,Carya illinoinensis,A,e,404,103.9,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
400,hickory spp.,Carya,spp.,Carya spp.,A,e,400,106.42,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
123,Table Mountain pine,Pinus,pungens,Pinus pungens,G,e,123,118.4,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
115,spruce pine,Pinus,glabra,Pinus glabra,G,e,115,160.24,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,,
314,black maple,Acer,nigrum,Acer nigrum,A,a,314,164.7,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,,
840,dwarf post oak,Quercus,margarettiae,Quercus margarettiae,A,e,840,172.7,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
401,water hickory,Carya,aquatica,Carya aquatica,A,e,401,181.7,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
800,oak spp,Quercus,spp.,Quercus spp.,A,e,800,190.3,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
332,yellow buckeye,Aesculus,flava,Aesculus flava,A,a,332,193.2,Sapindales,Hippocastanaceae,Malvids,Other,Other,,
548,Carolina ash,Fraxinus,caroliniana,Fraxinus caroliniana,A,a,548,211.66,Lamiales,Oleaceae,Asterids,Other,Oleaceae,,
998,Unknown dead hardwood,Tree,broadleaf,Tree broadleaf,A,n,998,277.23,,none,,,,,
405,shellbark hickory,Carya,laciniosa,Carya laciniosa,A,e,405,306.6,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
822,overcup oak,Quercus,lyrata,Quercus lyrata,A,e,822,384.37,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
828,Texas red oak,Quercus,texana,Quercus texana,A,e,828,384.4,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
651,cucumbertree,Magnolia,acuminata,Magnolia acuminata,A,a,651,424.98,Magnoliales,Magnoliaceae,Magnolids,Other,Other,,
500,hawthorn spp.,Crataegus,spp.,Crataegus spp.,A,a,500,430.63,Rosales,Rosaceae,Fabids,Other,Other,,
660,apple spp.,Malus,spp.,Malus spp.,A,a,660,510.2,Rosales,Rosaceae,Fabids,Other,Other,,
461,sugarberry,Celtis,laevigata,Celtis laevigata,A,a,461,532.04,Rosales,Cannabaceae,Fabids,Other,Other,,
641,Osage-orange,Maclura,pomifera,Maclura pomifera,A,a,641,542.8,Rosales,Moraceae,Fabids,Other,Other,,
817,shingle oak,Quercus,imbricaria,Quercus imbricaria,A,e,817,630.6,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
356,serviceberry spp.,Amelanchier,spp.,Amelanchier spp.,A,a,356,707.1,Rosales,Rosaceae,Fabids,Other,Other,,
830,pin oak,Quercus,palustris,Quercus palustris,A,e,830,797.3,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
912,cabbage palmetto,Sabal,palmetto,Sabal palmetto,A,a,912,935.3,Arecales,Arecaceae,Monocot,Other,Other,,
653,sweetbay,Magnolia,virginiana,Magnolia virginiana,A,a,653,995.58,Magnoliales,Magnoliaceae,Magnolids,Other,Other,,
813,cherrybark oak,Quercus,pagoda,Quercus pagoda,A,e,813,1014.52,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
971,winged elm,Ulmus,alata,Ulmus alata,A,a,971,1274.22,Rosales,Ulmaceae,Fabids,Other,Other,,
831,willow oak,Quercus,phellos,Quercus phellos,A,e,831,1371.8,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
555,loblolly-bay,Gordonia,lasianthus,Gordonia lasianthus,A,a,555,1377.85,Ericales,Theaceae,Asterids,Other,Other,,
826,chinkapin oak,Quercus,muehlenbergii,Quercus muehlenbergii,A,e,826,1533.6,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,,
408,black hickory,Carya,texana,Carya texana,A,e,408,1688.78,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,,
931,sassafras,Sassafras,albidum,Sassafras albidum,A,a,931,3604.61,Laurales,Lauraceae,Magnolids,Other,Other,,
