spcd,common name,Genus,Species,Species2,phy,myc,spcd,totdbh,Order,family,Clade,Phycat1,Phycat2,Leaf N_mg_g,Sample_Size_LeafN
43,Atlantic white-cedar,Chamaecyparis,thyoides,Chamaecyparis thyoides,G,a,43,6.3,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,11.15,2
126,pitch pine,Pinus,rigida,Pinus rigida,G,e,126,2195.73,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,11.26666667,9
97,red spruce,Picea,rubens,Picea rubens,G,e,97,8812.8,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,11.30945946,37
12,balsam fir,Abies,balsamea,Abies balsamea,G,e,12,15328.9,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,11.45870787,89
125,red pine,Pinus,resinosa,Pinus resinosa,G,e,125,6299.3,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,11.47896938,96
409,mockernut hickory,Carya,alba,Carya alba,A,e,409,5257.68,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,11.55,2
95,black spruce,Picea,mariana,Picea mariana,G,e,95,6381.1,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,11.69426216,134
221,baldcypress,Taxodium,distichum,Taxodium distichum,G,a,221,590.1,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,11.9,4
222,pondcypress,Taxodium,ascendens,Taxodium ascendens,G,a,222,1548.76,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,12.5,1
122,ponderosa pine,Pinus,ponderosa,Pinus ponderosa,G,e,122,19.3,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,12.61383871,31
91,Norway spruce,Picea,abies,Picea abies,G,e,91,380.5,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,12.61735847,983
202,Douglas-fir,Pseudotsuga,menziesii,Pseudotsuga menziesii,G,e,202,0,,,,,,12.63788571,105
816,scrub oak,Quercus,ilicifolia,Quercus ilicifolia,A,e,816,1.2,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,12.66666667,3
15,white fir,Abies,concolor,Abies concolor,G,e,15,0,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,12.70183333,12
819,turkey oak,Quercus,laevis,Quercus laevis,A,e,819,448.92,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,12.78333333,6
721,redbay,Persea,borbonia,Persea borbonia,A,a,721,450.54,Laurales,Lauraceae,Magnolids,Other,Other,12.815,20
940,West Indian mahogany,Swietenia,mahagoni,Swietenia mahagoni,A,a,940,0,,,,,,13.175,4
107,sand pine,Pinus,clausa,Pinus clausa,G,e,107,1429.45,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,13.2,1
105,jack pine,Pinus,banksiana,Pinus banksiana,G,e,105,4352.7,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,13.32610845,422
94,white spruce,Picea,glauca,Picea glauca,G,e,94,3159.5,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,13.40814775,80
130,Scotch pine,Pinus,sylvestris,Pinus sylvestris,G,e,130,1352.2,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,13.42803626,1565
842,bluejack oak,Quercus,incana,Quercus incana,A,e,842,31.9,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,13.5,2
824,blackjack oak,Quercus,marilandica,Quercus marilandica,A,e,824,701.64,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,13.786,1
611,sweetgum,Liquidambar,styraciflua,Liquidambar styraciflua,A,a,611,13485.36,Saxifragales,Altingiaceae,Malvids,Other,Other,14.40423323,62
858,camphortree,Cinnamomum,camphora,Cinnamomum camphora,A,a,858,0,Laurales,Lauraceae,Magnolids,Other,Other,14.76898129,7
67,southern redcedar,Juniperus,virginiana,Juniperus virginiana,G,a,67,95.2,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,14.95,8
68,eastern redcedar,Juniperus,virginiana,Juniperus virginiana,G,a,68,5709.32,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,14.95,8
820,laurel oak,Quercus,laurifolia,Quercus laurifolia,A,e,820,2278.34,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,15,3
491,flowering dogwood,Cornus,florida,Cornus florida,A,a,491,1690.53,Cornales,Cornaceae,Asterids,Other,Other,15.05814786,28
691,water tupelo,Nyssa,aquatica,Nyssa aquatica,A,a,691,123.2,Cornales,Cornaceae,Asterids,Other,Other,15.1,1
129,eastern white pine,Pinus,strobus,Pinus strobus,G,e,129,16471.97,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,15.29515103,117
838,live oak,Quercus,virginiana,Quercus virginiana,A,e,838,1411.31,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,15.71875,8
652,southern magnolia,Magnolia,grandiflora,Magnolia grandiflora,A,a,652,100,Magnoliales,Magnoliaceae,Magnolids,Other,Other,15.72857143,7
806,scarlet oak,Quercus,coccinea,Quercus coccinea,A,e,806,4586.31,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,15.86923077,13
812,southern red oak,Quercus,falcata,Quercus falcata,A,e,812,4133.95,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,15.896,5
827,water oak,Quercus,nigra,Quercus nigra,A,e,827,5575.38,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,16.01871429,7
896,Java plum,Syzygium,cumini,Syzygium cumini,A,a,896,0,,,,,,16.15,8
835,post oak,Quercus,stellata,Quercus stellata,A,e,835,6507.34,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,16.351,2
711,sourwood,Oxydendrum,arboreum,Oxydendrum arboreum,A,er,711,2467.31,Ericales,Ericaceae,Asterids,Other,Other,16.4,8
694,swamp tupelo,Nyssa,biflora,Nyssa biflora,A,a,694,3125.07,Cornales,Cornaceae,Asterids,Other,Other,16.51333333,15
693,blackgum,Nyssa,sylvatica,Nyssa sylvatica,A,a,693,5610.19,Cornales,Cornaceae,Asterids,Other,Other,16.51333333,15
834,Shumard oak,Quercus,shumardii,Quercus shumardii,A,e,834,356.44,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,16.6,1
936,European mountain-ash,Sorbus,aucuparia,Sorbus aucuparia,A,a,936,0,Rosales,Rosaceae,Fabids,Other,Other,16.62520553,20
241,northern white-cedar,Thuja,occidentalis,Thuja occidentalis,G,a,241,14219.2,Pinales,Cupressaceae,Pinales,Other,Cupressaceae,16.70555556,18
379,gray birch,Betula,populifolia,Betula populifolia,A,e,379,789.1,Fagales,Betulaceae,Fabids,Other,Betulaceae,16.82222222,9
316,red maple,Acer,rubrum,Acer rubrum,A,a,316,53289.74,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,16.97220175,212
995,tungoil tree,Vernicia,fordii,Vernicia fordii,A,a,995,2.3,Malpighiales,Euphorbiaceae,Fabids,Other,Other,17.00816884,3
544,green ash,Fraxinus,pennsylvanica,Fraxinus pennsylvanica,A,a,544,4937.48,Lamiales,Oleaceae,Asterids,Other,Oleaceae,17.02,11
412,red hickory,Carya,ovalis,Carya ovalis,A,e,412,3,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,17.08947368,19
403,pignut hickory,Carya,glabra,Carya glabra,A,e,403,5972.76,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,17.08947368,19
818,California black oak,Quercus,kelloggii,Quercus kelloggii,A,e,818,0,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,17.19125,4
825,swamp chestnut oak,Quercus,michauxii,Quercus michauxii,A,e,825,262.19,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,17.20333333,6
832,chestnut oak,Quercus,prinus,Quercus prinus,A,e,832,9583.18,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,17.26694444,18
731,American sycamore,Platanus,occidentalis,Platanus occidentalis,A,a,731,1512.56,Proteales,Platanaceae,Asterids,Other,Other,17.2989925,8
854,gumbo limbo,Bursera,simaruba,Bursera simaruba,A,a,854,0,,,,,,17.35742614,9
741,balsam poplar,Populus,balsamifera,Populus balsamifera,A,b,741,1492.9,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,17.75278833,18
986,black-mangrove,Avicennia,germinans,Avicennia germinans,A,a,986,2.3,Lamiales,Avicenniaceae,Asterids,Other,Other,18,1
837,black oak,Quercus,velutina,Quercus velutina,A,e,837,11160.17,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,18.00285714,7
16,Fraser fir,Abies,fraseri,Abies fraseri,G,e,16,0,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,18.07777778,9
